"","gender","PhoneService","OnlineSecurity","OnlineBackup","PaperlessBilling","Churn"
"1","0","0",NA,"1","1","0"
"2","1","1",NA,"0","0","0"
"3","1","1",NA,"1","1","1"
"4","1","0",NA,"0","0","0"
"5","0","1",NA,"0","1","1"
"6","0","1",NA,"0","1","1"
"7","1","1",NA,"1","1","0"
"8","0","0",NA,"0","0","0"
"9","0","1",NA,"0","1","1"
"10","1","1",NA,"1","0","0"
"11","1","1",NA,"0","1","0"
"12","1","1",NA,"0","0","0"
"13","1","1",NA,"0","0","0"
"14","1","1",NA,"1","1","1"
"15","1","1",NA,"0","1","0"
"16","0","1",NA,"1","0","0"
"17","0","1",NA,"0","0","0"
"18","1","1",NA,"0","0","0"
"19","0","1",NA,"0","0","1"
"20","0","1",NA,"1","1","0"
"21","1","0",NA,"0","1","1"
"22","1","1",NA,"0","0","0"
"23","1","1",NA,"0","0","1"
"24","0","1",NA,"1","1","0"
"25","1","1",NA,"1","0","0"
"26","0","1",NA,"1","1","0"
"27","1","1",NA,"1","1","1"
"28","1","0",NA,"1","0","1"
"29","1","1",NA,"1","1","0"
"30","0","1",NA,"0","1","1"
"31","0","1",NA,"1","1","0"
"32","1","1",NA,"0","1","0"
"33","0","1",NA,"1","0","0"
"34","1","1",NA,"0","0","0"
"35","1","1",NA,"0","0","0"
"36","0","1",NA,"1","0","0"
"37","1","1",NA,"0","1","1"
"38","0","1",NA,"0","1","0"
"39","1","1",NA,"1","1","1"
"40","0","1",NA,"0","1","1"
"41","1","1",NA,"1","0","0"
"42","0","1",NA,"1","1","0"
"43","0","1",NA,"0","0","0"
"44","0","1",NA,"1","1","0"
"45","0","1",NA,"1","1","0"
"46","0","1",NA,"0","1","0"
"47","1","1",NA,"1","0","0"
"48","0","1",NA,"0","1","1"
"49","1","1",NA,"0","1","0"
"50","0","1",NA,"0","1","0"
"51","0","1",NA,"1","1","0"
"52","0","1",NA,"1","1","1"
"53","0","1",NA,"0","1","0"
"54","0","1",NA,"1","1","1"
"55","0","1",NA,"1","1","0"
"56","1","1",NA,"0","1","1"
"57","0","1",NA,"0","1","0"
"58","1","1",NA,"1","1","0"
"59","0","1",NA,"0","0","0"
"60","0","1",NA,"0","1","0"
"61","0","1",NA,"0","1","0"
"62","1","1",NA,"1","1","0"
"63","1","0",NA,"1","0","0"
"64","0","1",NA,"0","1","0"
"65","0","1",NA,"0","0","1"
"66","0","1",NA,"1","1","0"
"67","1","1",NA,"1","1","0"
"68","0","1",NA,"1","0","0"
"69","0","1",NA,"0","0","0"
"70","1","1",NA,"0","1","0"
"71","1","1",NA,"0","0","0"
"72","0","1",NA,"0","1","0"
"73","1","1",NA,"0","1","0"
"74","1","1",NA,"0","1","0"
"75","0","1",NA,"0","1","0"
"76","0","1",NA,"1","0","0"
"77","0","1",NA,"0","0","0"
"78","0","1",NA,"1","0","0"
"79","1","1",NA,"1","1","0"
"80","0","1",NA,"0","1","0"
"81","0","1",NA,"0","1","1"
"82","0","0",NA,"0","0","0"
"83","0","1",NA,"0","1","1"
"84","0","1",NA,"1","1","0"
"85","0","1",NA,"0","1","0"
"86","1","1",NA,"1","1","0"
"87","0","1",NA,"0","1","0"
"88","0","1",NA,"0","0","0"
"89","0","1",NA,"0","1","0"
"90","1","0",NA,"0","0","0"
"91","1","1",NA,"1","0","0"
"92","1","1",NA,"0","0","0"
"93","1","1",NA,"0","1","0"
"94","0","1",NA,"1","1","0"
"95","1","1",NA,"1","1","0"
"96","0","1",NA,"0","1","1"
"97","1","1",NA,"1","1","0"
"98","1","1",NA,"0","0","1"
"99","1","1",NA,"0","0","0"
"100","0","1",NA,"1","1","1"
"101","1","1",NA,"0","0","0"
"102","0","1",NA,"0","0","0"
"103","1","1",NA,"0","0","0"
"104","0","0",NA,"1","0","0"
"105","1","1",NA,"1","1","1"
"106","1","0",NA,"0","0","0"
"107","0","1",NA,"1","1","0"
"108","0","0",NA,"0","0","0"
"109","1","1",NA,"0","0","0"
"110","1","1",NA,"0","0","0"
"111","1","1",NA,"1","1","1"
"112","0","1",NA,"0","0","0"
"113","0","1",NA,"1","1","0"
"114","0","1",NA,"0","1","1"
"115","0","0",NA,"1","1","0"
"116","1","1",NA,"1","0","0"
"117","0","0",NA,"0","0","0"
"118","0","1",NA,"0","1","1"
"119","0","1",NA,"0","0","0"
"120","1","1",NA,"1","1","0"
"121","0","1",NA,"0","1","0"
"122","0","1",NA,"0","0","0"
"123","1","1",NA,"0","1","1"
"124","0","1",NA,"0","0","0"
"125","0","1",NA,"0","0","0"
"126","1","1",NA,"0","1","0"
"127","0","1",NA,"0","1","1"
"128","1","1",NA,"0","1","0"
"129","1","1",NA,"0","0","0"
"130","1","0",NA,"1","1","0"
"131","0","1",NA,"0","1","0"
"132","0","0",NA,"1","1","1"
"133","1","1",NA,"0","0","0"
"134","1","0",NA,"0","1","1"
"135","1","1",NA,"0","0","1"
"136","0","1",NA,"0","1","0"
"137","0","1",NA,"0","1","0"
"138","0","1",NA,"0","0","0"
"139","1","1",NA,"0","1","0"
"140","0","1",NA,"0","1","1"
"141","0","1",NA,"1","1","0"
"142","0","1",NA,"0","0","1"
"143","0","1",NA,"1","1","0"
"144","1","1",NA,"1","1","0"
"145","1","1",NA,"0","0","0"
"146","0","1",NA,"1","1","0"
"147","1","1",NA,"0","0","0"
"148","1","1",NA,"0","1","1"
"149","1","1",NA,"1","0","0"
"150","1","1",NA,"1","1","0"
"151","0","1",NA,"0","1","0"
"152","1","1",NA,"0","0","1"
"153","0","1",NA,"1","1","0"
"154","1","1",NA,"1","0","0"
"155","0","1",NA,"0","0","0"
"156","0","1",NA,"0","1","0"
"157","0","1",NA,"0","1","0"
"158","1","1",NA,"0","0","0"
"159","1","1",NA,"0","0","0"
"160","1","1",NA,"0","0","0"
"161","0","1",NA,"1","1","0"
"162","0","1",NA,"0","0","1"
"163","0","1",NA,"0","1","0"
"164","1","1",NA,"1","1","0"
"165","0","1",NA,"0","0","0"
"166","1","1",NA,"0","0","0"
"167","0","1",NA,"0","1","1"
"168","1","1",NA,"1","1","0"
"169","1","0",NA,"1","1","1"
"170","0","1",NA,"0","0","0"
"171","1","1",NA,"0","1","0"
"172","0","1",NA,"0","1","1"
"173","1","1",NA,"1","0","0"
"174","0","1",NA,"0","1","1"
"175","0","1",NA,"0","0","0"
"176","0","1",NA,"0","0","0"
"177","0","1",NA,"0","1","1"
"178","0","1",NA,"0","0","1"
"179","0","1",NA,"1","1","0"
"180","1","1",NA,"0","1","0"
"181","0","0",NA,"1","0","1"
"182","0","1",NA,"0","0","0"
"183","1","1",NA,"0","0","1"
"184","1","1",NA,"0","0","0"
"185","0","1",NA,"1","1","1"
"186","0","0",NA,"0","1","1"
"187","1","1",NA,"1","1","0"
"188","1","0",NA,"0","0","0"
"189","0","1",NA,"0","0","0"
"190","0","1",NA,"1","0","0"
"191","1","1",NA,"0","1","0"
"192","1","1",NA,"1","1","1"
"193","0","1",NA,"0","0","0"
"194","0","1",NA,"1","0","0"
"195","1","1",NA,"0","0","0"
"196","0","1",NA,"1","1","0"
"197","1","1",NA,"0","1","0"
"198","1","1",NA,"1","1","0"
"199","1","1",NA,"1","1","0"
"200","1","1",NA,"0","0","0"
"201","0","1",NA,"0","1","0"
"202","0","1",NA,"1","1","0"
"203","1","1",NA,"0","0","0"
"204","1","1",NA,"0","1","0"
"205","1","1",NA,"0","0","0"
"206","0","1",NA,"1","1","0"
"207","1","0",NA,"1","1","0"
"208","1","1",NA,"0","0","1"
"209","0","1",NA,"0","1","1"
"210","1","1",NA,"1","1","0"
"211","1","1",NA,"0","1","1"
"212","0","0",NA,"0","0","0"
"213","1","1",NA,"0","0","0"
"214","0","1",NA,"0","0","0"
"215","1","1",NA,"0","0","0"
"216","0","0",NA,"1","1","0"
"217","1","0",NA,"1","0","0"
"218","1","0",NA,"1","1","0"
"219","1","1",NA,"1","1","0"
"220","0","1",NA,"0","1","0"
"221","0","1",NA,"0","1","1"
"222","0","1",NA,"0","0","0"
"223","1","1",NA,"0","1","0"
"224","1","1",NA,"0","0","1"
"225","0","1",NA,"0","1","0"
"226","1","0",NA,"0","1","0"
"227","0","1",NA,"0","1","0"
"228","0","1",NA,"0","0","1"
"229","1","1",NA,"0","1","0"
"230","0","1",NA,"1","1","0"
"231","1","1",NA,"1","1","0"
"232","1","1",NA,"1","1","0"
"233","1","1",NA,"0","1","1"
"234","0","1",NA,"0","0","0"
"235","0","1",NA,"0","0","0"
"236","1","1",NA,"1","1","1"
"237","0","0",NA,"0","1","0"
"238","1","1",NA,"0","1","0"
"239","0","1",NA,"1","1","1"
"240","1","1",NA,"0","0","0"
"241","0","1",NA,"1","0","0"
"242","1","1",NA,"1","0","0"
"243","0","1",NA,"0","1","0"
"244","0","1",NA,"1","0","0"
"245","0","1",NA,"1","1","0"
"246","1","1",NA,"0","0","0"
"247","1","1",NA,"0","0","0"
"248","1","1",NA,"1","1","1"
"249","1","1",NA,"0","1","1"
